Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center X ,Center Y ,Parent Object ID (Well),Parent Trace ID,R01
58,1.0297509,10965984,9176.5557,2447968,2048.5088,78314328,65535,1195,7,1352,81.5,6,-1,1
59,1.0297919,10193440,7456.7959,2694496,1971.1017,89586344,65535,1367,7,1992,84,6,-1,1
60,1.0552396,5789024,7557.4727,1648176,2151.6658,50199808,65535,766,7,761,79.5,6,-1,1
61,1.1212813,329680,1939.2941,307568,1809.2235,11140950,65535,170,7,2024.5,71.5,6,-1,1
62,1.0666323,1138352,2817.7029,794608,1966.8514,26476140,65535,404,7,1476.5,75.5,6,-1,1
63,1.0718589,11995344,8568.1025,2858608,2041.8629,91749000,65535,1400,7,1602,88,6,-1,1
64,1.0552196,9192160,6709.606,2770928,2022.5752,89782952,65535,1370,7,277,88,6,-1,1
65,1.0352055,9476368,6292.4092,3171664,2106.0186,98695712,65535,1506,7,864.5,92.5,6,-1,1
66,1.0312374,12298928,8017.5542,3235584,2109.2463,100530690,65535,1534,7,621,93,6,-1,1
67,1.1246478,4229072,9633.4219,948991.94,2161.7129,28769864,65535,439,7,1096,85,6,-1,1
68,1.0612801,8688176,8468.0078,2088832,2035.8987,67238912,65535,1026,7,1650,90.5,6,-1,1
69,1.0568812,7883568,8152.604,1998016,2066.2007,63372344,65535,967,7,1392,92,6,-1,1
70,1.0877261,2391616,3645.7561,1249600,1904.8781,42990960,65535,656,7,108,92,6,-1,1
71,1.1280974,3316000,7570.7764,864256,1973.1873,28704330,65535,438,7,437,92,6,-1,1
72,1.0740127,8133920,8987.7568,1861807.9,2057.2463,59309176,65535,905,7,1541,96,6,-1,1
73,1.0237956,9618656,7664.2676,2709248,2158.7634,82246424,65535,1255,7,537,102,6,-1,1
74,1.0321085,7594703.5,6164.5322,2501152,2030.1559,80739120,65535,1232,7,173.5,104,6,-1,1
75,1.0690537,3915536.2,9191.3994,857248,2012.3192,27917910,65535,426,7,137,99,6,-1,1
76,1.1233608,1691376,3290.6147,999760,1945.0583,33684992,65535,514,7,903.5,100,6,-1,1
77,1.0476743,3322544,4248.7773,1498528,1916.2762,51248368,65535,782,7,1915.5,103,6,-1,1
78,1.0446926,8679344,8627.5781,2060288,2048,65928208,65535,1006,7,1071,105.5,6,-1,1
79,1.0237116,11584160,7341.0391,3241920,2054.4487,103414230,65535,1578,7,1495.5,110,6,-1,1
80,1.0601194,7664176,9568.2598,1674336,2090.3071,52493536,65535,801,7,660.5,108.5,6,-1,1
81,1.0405149,13358448,9118.3945,3098480,2115.0034,96008776,65535,1465,7,1120.5,115.5,6,-1,1
82,1.0448285,11241520,9065.7422,2569712,2072.3484,81263400,65535,1240,7,390.5,117,6,-1,1
83,1.043762,3002112,3738.6201,1560320,1943.1133,52624604,65535,803,7,500,114,6,-1,1
84,1.0525132,7414880.5,9098.0127,1675248,2055.519,53411024,65535,815,7,1422,115.5,6,-1,1
85,1.076054,7724784,7280.6636,2075280,1955.9661,69532632,65535,1061,7,215.5,121.5,6,-1,1
86,1.1056257,2495520,6744.6484,702752,1899.3297,24247950,65535,370,7,85,116,6,-1,1
87,1.0424927,7292576,7866.8564,1876240,2023.9913,60750944,65535,927,7,1632,121,6,-1,1
88,1.0574011,1711424,3728.5925,865520,1885.6644,30080564,65535,459,7,114,119.5,6,-1,1
89,1.0289682,6040688,6983.4541,1721648,1990.3445,56687776,65535,865,7,1377.5,126,6,-1,1
90,1.0370749,9544608,9849.957,2033311.9,2098.3611,63503416,65535,969,7,567.5,129,6,-1,1
91,1.0495174,12626495,9270.5547,2984207.8,2191.0483,89258672,65535,1362,7,889.5,133,6,-1,1
92,1.1287481,2180864,8168.0298,601552,2253.0037,17497844,65535,267,7,457.5,122,6,-1,1
93,1.1091988,9840864,7575.7227,2662800,2049.8845,85129968,65535,1299,7,1558.5,135.5,6,-1,1
94,1.1100419,10003216,8979.5479,2339184,2099.8062,73005992,65535,1114,7,333,133.5,6,-1,1
95,1.0570487,4885984,6320.8071,1504384,1946.163,50658556,65535,773,7,135.5,135.5,6,-1,1
96,1.0680007,4120096,5690.7402,1456512,2011.757,47442604,65528.461,724,7,684.5,136,6,-1,1
97,1.0765605,1557600,3516.0271,838880,1893.6343,29032004,65535,443,7,1782.5,132,6,-1,1
98,1.0400393,11621328,6231.2749,3686528,1976.6907,122222780,65535,1865,7,1811.5,151,6,-1,1
99,1.0430216,3956944,3819.4441,1978096,1909.3591,67894256,65535,1036,7,183.5,144.5,6,-1,1
100,1.0715347,7316128,7900.7861,1907616.1,2060.0605,60685408,65535,926,7,521.5,143,6,-1,1
101,1.0348211,3263296,3464.2207,1831488,1944.2548,61733968,65535,942,7,648.5,142,6,-1,1
102,1.070323,2238688,7292.1436,638544.06,2079.948,20119244,65535,307,7,1523.5,137.5,6,-1,1
103,1.0473967,3436896,11051.112,647168,2080.926,20381384,65535,311,7,1600.5,137,6,-1,1
104,1.0657553,10819184,9498.8447,2424800,2128.885,74644368,65535,1139,7,719.5,148,6,-1,1
105,1.1289485,1910976,3249.9592,1105936,1880.8435,38534580,65535,588,7,102,145,6,-1,1
106,1.1444826,3949248,9679.5293,849104,2081.1372,26738280,65535,408,7,834.5,143,6,-1,1
107,1.0330509,12818128,7661.7622,3894656.2,2327.9475,109640060,65535,1673,7,277.5,158,6,-1,1
108,1.0466368,8393616,8863.375,1943744.1,2052.5281,62061644,65535,947,7,1161,154,6,-1,1
109,1.0785282,803104,2941.7729,574480,2104.3223,17891056,65535,273,7,1349.5,146.5,6,-1,1
110,1.1020263,4427760,10225.773,907248,2095.261,28376656,65535,433,7,1675.5,148,6,-1,1
111,1.0170904,14134352,9422.9014,3097024,2064.6826,98302496,65535,1500,7,1726.5,157.5,6,-1,1
112,1.0885557,6204896,6436.6143,1876384,1946.4564,63175740,65535,964,7,69,154.5,6,-1,1
113,1.034853,8591312,9379.1611,1876271.9,2048.3318,60030060,65535,916,7,443.5,156,6,-1,1
114,1.0951447,9528464,8300.0557,2321552,2022.2578,75234176,65535,1148,7,1949.5,160.5,6,-1,1
