Cell ID,Well ,Strain,Cell Mean Intensity GFP,Cell Total Intensity GFP,Cell Area,Pex Mean Intensity GFP,Pex Total Intensity GFP,Pex Area
312,7,Control,9280.1826,10588688.0,1141,19013.334,285200.0,15.0
320,7,Control,8763.7012,10437568.0,1191,26486.4,264864.0,10.0
325,7,Control,8716.2305,11322383.0,1299,24948.801,249488.0,10.0
332,7,Control,7496.0942,6371680.0,850,38390.668,921376.0,24.0
333,7,Control,3611.6201,3232400.0,895,26065.684,495248.0,19.0
337,7,Control,11208.619,3911808.0,349,26696.727,293664.0,11.0
348,7,Control,11274.259,6922395.0,614,27278.8615,811319.0,25.0
350,7,Control,7080.7861,2449952.0,346,25871.385,672656.0,26.0
354,7,Control,8407.7715,9727792.0,1157,15910.109,166224.0,10.5
357,7,Control,7512.3311,11801872.0,1571,25603.428,358448.0,14.0
358,7,Control,10059.937,9627360.0,957,23769.334,285232.0,12.0
364,7,Control,9621.6182,10631888.0,1105,29336.0,645392.0,22.0
368,7,Control,9675.4248,16177310.0,1672,26271.714,449328.0,16.5
376,7,Control,12195.482,7780718.0,638,34284.4715,888471.0,26.5
378,7,Control,10719.241,8811216.0,822,7030.1538,274176.0,39.0
382,7,Control,11046.67,9268156.0,839,38279.375,3483423.0,91.0
385,7,Control,9327.5605,7135584.0,765,8254.0,264128.0,32.0
399,7,Control,11128.625,5842528.0,525,37610.0,601760.0,16.0
408,7,Control,10242.771,7569408.0,739,5797.0,185504.0,32.0
410,7,Control,10796.527,8755984.0,811,21321.6,213216.0,10.0
413,7,Control,9957.3984,8204896.5,824,21408.0,235488.0,11.0
422,7,Control,10504.175,7195359.5,685,20269.539,527008.0,26.0
424,7,Control,4863.2598,3574496.0,735,12584.471,213936.0,17.0
434,7,Control,7902.0049,6210976.0,786,27559.467,413392.0,15.0
449,7,Control,9777.3867,6189086.0,633,22402.351,660063.03,30.0
454,7,Control,7938.8999,10161792.0,1280,25004.666,600112.0,24.0
457,7,Control,11578.544,11103824.0,959,12310.77,320080.0,26.0
463,7,Control,11521.885,9782080.0,849,17123.088,976016.0,57.0
472,7,Control,11651.558,9064912.0,778,8338.0,133408.0,16.0
490,7,Control,11025.111,9977726.0,905,17621.96325,415863.0,19.5
495,7,Control,10499.828,8294864.0,790,34066.855,953871.94,28.0
503,7,Control,11950.787,2521616.0,211,22893.715,480768.0,21.0
505,7,Control,10923.861,9798704.0,897,12713.263,241551.98,19.0
506,7,Control,11139.687,7018003.0,630,48203.039,1205076.0,25.0
515,7,Control,8876.8125,6728624.0,758,16036.348,217301.33333333334,13.666666666666666
517,7,Control,13886.34,9900960.0,713,32237.334,386848.0,12.0
518,7,Control,8181.8359,2691824.0,329,23444.268,703328.0,30.0
522,7,Control,8865.1436,3457406.0,390,34131.816,1126350.0,33.0
526,7,Control,10996.286,13008606.0,1183,19474.5332,223856.0,11.0
530,7,Control,4994.314,4834496.0,968,26057.455,573264.0,22.0
536,7,Control,10765.145,8805888.0,818,9145.2798,318127.985,34.0
537,7,Control,11327.186,10477647.0,925,33510.547,737232.0,22.0
541,7,Control,9552.6191,12838720.0,1344,23856.0,858816.0,36.0
545,7,Control,7732.3584,13199136.0,1707,28483.421000000002,604560.0,21.5
546,7,Control,11906.72,8406144.0,706,32834.5,1050704.0,32.0
548,7,Control,9131.0137,12920384.0,1415,19826.908,218095.98,11.0
549,7,Control,7949.7832,9754384.0,1227,11960.571,334896.0,28.0
551,7,Control,8750.9785,7814624.0,893,5828.7998,58288.0,10.0
560,7,Control,10145.381,8816336.0,869,15281.939,504304.0,33.0
563,7,Control,9266.1143,3576720.0,386,11796.19,495440.0,42.0
564,7,Control,7237.3384,7439984.0,1028,18552.6175,467064.0,24.5
566,7,Control,10628.454,7025408.0,661,11016.728,121184.0,11.0
572,7,Control,6388.2295,4011808.0,628,23106.424,762512.0,33.0
586,7,Control,6711.5635,9228400.0,1375,37350.398,373504.0,10.0
590,7,Control,14012.035,9500160.0,678,38584.801,771696.0,20.0
591,7,Control,8505.2822,10291391.0,1210,18141.334,217696.0,12.0
592,7,Control,3983.0981,2190704.0,550,24536.727,539808.0,22.0
597,7,Control,7804.5864,4097407.8,525,31548.268,946448.0,30.0
601,7,Control,10843.099,7449209.0,687,33942.777,1968681.1,58.0
608,7,Control,8524.3779,8660768.0,1016,27877.818,306656.0,11.0
609,7,Control,16698.559,4692295.0,281,32386.41,1813639.0,56.0
612,7,Control,12829.792,7274492.0,567,50058.957,1151356.0,23.0
614,7,Control,9650.793,8569904.0,888,16281.6365,181760.0,11.5
616,7,Control,16473.49,6507028.5,395,33799.742,3515173.2,104.0
617,7,Control,12520.411,4382144.0,350,28437.334,597184.0,21.0
619,7,Control,9423.1533,14605888.0,1550,19164.93505,296920.0,18.0
625,7,Control,12780.935,9138368.0,715,42883.199,428832.0,10.0
628,7,Control,8644.0986,5264256.0,609,26708.0,320496.0,12.0
632,7,Control,6136.125,7866512.0,1282,18773.334,506880.03,27.0
633,7,Control,9538.5273,11474848.0,1203,19224.615,249920.0,13.0
635,7,Control,10373.153,7696880.0,742,35320.0,353200.0,10.0
636,7,Control,12137.969,9467616.0,780,14299.2,142992.0,10.0
639,7,Control,10832.342,11503947.0,1062,27938.26245,291366.0,11.5
641,7,Control,9858.124,9424367.0,956,47851.0,622063.0,13.0
643,7,Control,7867.5229,7537087.0,958,47188.539,1840353.0,39.0
650,7,Control,7629.5161,10124368.0,1327,9438.8145,254847.98,27.0
651,7,Control,11574.105,10949104.0,946,21184.695,487248.0,23.0
652,7,Control,8441.4189,13751071.0,1629,18528.62,558064.0,30.5
656,7,Control,12849.393,6643136.0,517,25352.49,1242272.0,49.0
657,7,Control,13095.134,6167808.0,471,22508.631,427664.0,19.0
666,7,Control,8968.8027,10906064.0,1216,41892.0,502704.0,12.0
675,7,Control,8751.3232,11796784.0,1348,27544.7785,772312.0,27.0
681,7,Control,11819.071,5141296.0,435,14689.2,587568.0,40.0
682,7,Control,12180.305,10998815.0,903,51822.301,518223.0,10.0
683,7,Control,9548.0713,4821776.0,505,8562.7393,1250159.9,146.0
696,7,Control,8883.5957,10713616.0,1206,13034.947,247664.0,19.0
699,7,Control,9957.2432,4132256.0,415,14061.333,168736.0,12.0
701,7,Control,8393.335,6571981.5,783,41370.719,1903053.0,46.0
710,7,Control,13056.339,9243888.0,708,12448.64,622432.0,50.0
714,7,Control,10335.813,15586407.0,1508,57018.785,798263.0,14.0
718,7,Control,9699.6084,9719008.0,1002,22099.3935,601600.0,26.0
719,7,Control,9599.1836,7669747.5,799,56459.691,733976.0,13.0
737,7,Control,6728.272,8107567.5,1205,16160.0,242400.0,15.0
741,7,Control,11272.266,6785904.0,602,37720.492,599248.0,15.5
742,7,Control,10022.359,4740576.0,473,14376.728,158144.0,11.0
744,7,Control,8554.9414,9119568.0,1066,19230.857,269232.0,14.0
748,7,Control,6771.4658,11816208.0,1745,33577.602,335776.0,10.0
752,7,Control,8873.7725,7729056.0,871,16849.6,842480.0,50.0
760,7,Control,7303.9014,14790400.0,2025,13588.923,176656.0,13.0
769,7,Control,11766.188,3741648.0,318,14011.871,434368.0,31.0
776,7,Control,7070.8447,10867888.0,1537,10795.2,107952.0,10.0
779,7,Control,11545.897,10322032.0,894,9689.98555,160904.005,16.5
780,7,Control,10321.112,5047024.0,489,29776.551,863520.0,29.0
781,7,Control,9934.3242,4172416.2,420,12161.066,182416.0,15.0
788,7,Control,6253.1792,11668432.0,1866,23177.455,509904.0,22.0
791,7,Control,9133.6377,7115104.0,779,12778.823,434480.0,34.0
795,7,Control,13869.885,2413360.0,174,21516.445,968240.06,45.0
799,7,Control,10438.832,7505520.0,719,14603.429,408896.0,28.0
802,7,Control,5659.5659,5840672.0,1032,25260.801,252608.0,10.0
804,7,Control,11806.813,8937758.0,757,44153.332,529840.0,12.0
806,7,Control,9626.9785,11446477.0,1189,27799.385,722784.0,26.0
809,7,Control,12446.284,8936432.0,718,24415.771500000003,754896.0,26.0
815,7,Control,8522.5947,3809599.8,447,11396.267,170944.0,15.0
817,7,Control,7296.1738,3356240.0,460,16503.273,181536.0,11.0
819,7,Control,11090.805,7841199.0,707,47295.934,709439.0,15.0
824,7,Control,11338.157,8072768.0,712,25128.0,251280.0,10.0
825,7,Control,6002.8892,6116944.0,1019,17414.857,243808.0,14.0
830,7,Control,8811.1348,14811518.0,1681,20084.28005,1210111.0,47.0
837,7,Control,12179.805,9475888.0,778,14087.529,239488.0,17.0
841,7,Control,8164.9185,2098384.0,257,12745.846,165696.0,13.0
842,7,Control,10439.558,10961535.0,1050,25637.818,282016.0,11.0
843,7,Control,9527.3301,6259456.0,657,7792.0,109088.0,14.0
848,7,Control,10817.51,4240464.0,392,24120.0,289440.0,12.0
855,7,Control,14428.069,6016505.0,417,43135.043,992106.0,23.0
857,7,Control,11102.474,12101696.0,1090,30783.417999999998,426080.0,16.0
858,7,Control,7084.5044,1686112.0,238,32932.801,329328.0,10.0
863,7,Control,9110.0137,6513660.0,715,38765.734,1162972.0,30.0
867,7,Control,13488.192,10224050.0,758,54293.91,1194466.0,22.0
877,7,Control,11011.471,8732096.0,793,32164.572,450304.0,14.0
879,7,Control,10071.637,3988368.2,396,21318.917999999998,441904.0,20.5
881,7,Control,3414.4072,1526240.0,447,8212.6455,254592.02,31.0
884,7,Control,7472.8535,9243920.0,1237,6729.0811,248976.0,37.0
885,7,Control,14548.298,9223621.0,634,36161.5605,2097370.5,58.0
886,7,Control,12866.453,9984368.0,776,9695.7197,552656.0,57.0
890,7,Control,11314.42,9651200.0,853,29524.0,354288.0,12.0
892,7,Control,10266.307,7833192.0,763,16082.667,578976.0,36.0
898,7,Control,12629.563,5039196.0,399,34399.871,791197.06,23.0
902,7,Control,11491.61,10491840.0,913,27865.6,417984.0,15.0
908,7,Control,10293.099,6072928.0,590,28761.143,805312.0,28.0
