Cell ID,Well ,Strain,Cell Mean Intensity GFP,Cell Total Intensity GFP,Cell Area,Pex Mean Intensity GFP,Pex Total Intensity GFP,Pex Area
3146,25,MutS,9451.043,13401579.0,1418,22485.10865,559766.5,22.5
4031,25,MutS,8669.3867,6476032.0,747,22882.285,480528.0,21.0
3462,25,MutS,7923.0972,12074800.0,1524,11980.48656,632416.0,70.0
2910,25,MutS,6628.1626,6190704.0,934,24216.0,290592.0,12.0
2881,25,MutS,10182.727,15762861.0,1548,15057.069900000002,812060.812,59.0
2967,25,MutS,7943.7417,10819376.0,1362,19951.162500000002,292282.6666666667,13.666666666666666
3605,25,MutS,9915.0195,6147312.0,620,9981.0557,1626912.1,163.0
3653,25,MutS,12409.722,9505847.0,766,28954.6488,1362131.3333333333,69.66666666666667
3787,25,MutS,14438.594,4764736.0,330,22702.492,837304.0,50.5
2690,25,MutS,9701.7676,9032346.0,931,30887.2615,1134301.0,43.0
3599,25,MutS,6787.2715,4248832.0,626,5619.0,899040.0,160.0
3663,25,MutS,6955.1934,9493839.0,1365,36563.949,731279.0,20.0
3848,25,MutS,7184.5322,4102368.0,571,9899.6924,514784.0,52.0
3444,25,MutS,10081.158,5292608.0,525,20503.2815,856208.0,53.5
2949,25,MutS,9412.7187,15192128.0,1614,23776.200333333338,1549013.3333333333,81.33333333333333
3196,25,MutS,8922.0723,8163696.0,915,8027.355,248848.0,31.0
4307,25,MutS,6323.1719,5406312.0,855,45378.238,1134456.0,25.0
2616,25,MutS,8541.8652,8012269.5,938,29635.873,3289582.0,111.0
4455,25,MutS,5978.0776,4913980.0,822,14568.0,203952.0,14.0
3922,25,MutS,8645.3682,5282320.0,611,9838.96745,899728.0,92.5
2625,25,MutS,5427.7612,4640736.0,855,18974.545,208720.0,11.0
3289,25,MutS,10203.487,6224127.5,610,22131.0,354096.0,16.0
3361,25,MutS,10402.484,8696477.0,836,30008.911,1158062.5,84.5
3189,25,MutS,7460.7866,2693344.0,361,7693.4492,530848.0,69.0
4217,25,MutS,8578.6514,10028443.0,1169,24582.85815,1161541.55,91.5
