Object ID,Circularity Factor ,Total Intensity GFP,Mean Intensity GFP,Total Intensity mCherry,Mean Intensity mCherry,Total Intensity Brightfield,Mean Intensity Brightfield,Area ,Well ,Center Y ,Center X ,Parent Object ID (MO),Parent Trace ID,MO.R01
1056,1.678096,230032,8215.4287,83088,2967.4285,1834980,65535,28,25,293.5,1414,2881,-1,1
1057,1.5599627,262240,16390,51440,3215,1048560,65535,16,25,298.5,1398.5,2881,-1,1
1058,1.3807293,832896.06,9053.2178,279648,3039.6521,6029220,65535,92,25,305.5,1411,2881,-1,1
1059,1.7108978,1383504,12243.398,338272,2993.5576,7405455,65535,113,25,313,1423.5,2881,-1,1
1060,1.3115775,1351632,29383.305,146480,3184.3479,3014610,65535,46,25,316.5,1407.5,2881,-1,1
1061,1.1799102,145184,14518.4,30800,3080,655350,65535,10,25,286.5,1615,2883,-1,1
1062,1.0294029,232048,19337.334,37088,3090.6667,786420,65535,12,25,294,1605.5,2883,-1,1
1063,1.2596611,777696,17282.133,133904,2975.6445,2949075,65535,45,25,292,1802,2884,-1,1
1064,1.8858334,410048,7736.7549,156960,2961.5095,3473355,65535,53,25,295.5,1815,2884,-1,1
1065,1.7132094,746128,7314.9805,313360,3072.157,6684570,65535,102,25,305,1801.5,2884,-1,1
1066,1.0308647,1191967,29799.176,164688,4117.2002,2621400,65535,40,25,320,1800.5,2884,-1,1
1067,1.2162743,77728,7772.7998,31456,3145.6001,655350,65535,10,25,304.5,606.5,2885,-1,1
1068,1.1780246,458384,32741.715,46896,3349.7144,917490,65535,14,25,316,605.5,2885,-1,1
1069,1.3649838,1056592,11006.167,303424,3160.6667,6291360,65535,96,25,292,699.5,2888,-1,1
1070,1.0753986,229360,22936,35072,3507.2,655350,65535,10,25,300,255,2889,-1,1
1071,1.1599503,326832,16341.6,70848,3542.3999,1310700,65535,20,25,292,659.5,2890,-1,1
1072,1.1065877,539200,22466.666,85776,3574,1572840,65535,24,25,301,656,2890,-1,1
1073,0.99164286,326096,23292.572,46720,3337.1428,917490,65535,14,25,320,653.5,2890,-1,1
1074,1.1489208,593040,21180,112256,4009.1428,1834980,65535,28,25,297,1311.5,2891,-1,1
1075,1.3987639,363792,5867.6128,183488,2959.4839,4063170,65535,62,25,302,1326.5,2891,-1,1
1076,1.2509897,1454988,23095.047,254416,4038.3491,4128705,65535,63,25,305,1069.5,2893,-1,1
1077,1.2927392,1244624,14816.952,277312,3301.3333,5504940,65535,84,25,309.5,1058,2893,-1,1
1078,1.4325285,614368,8302.2705,232288,3139.0271,4849590,65535,74,25,312.5,2005,2895,-1,1
1079,1.4492766,146256,13296,32032,2912,720885,65535,11,25,309.5,1977,2895,-1,1
1080,1.2581427,439984,25881.412,52304,3076.7058,1114095,65535,17,25,315.5,1780,2896,-1,1
1081,1.2404411,574880,23953.334,83504,3479.3333,1572840,65535,24,25,313.5,1371.5,2898,-1,1
1082,1.2472285,192960,19296,31424,3142.3999,655350,65535,10,25,301.5,968.5,2899,-1,1
1083,1.3732342,3418409.2,23904.959,536784,3753.7344,9371505,65535,143,25,318,763,2902,-1,1
1084,1.1874415,961968,24049.199,128080,3202,2621400,65535,40,25,312,1495,2904,-1,1
1085,1.4591851,1151520,13235.862,280000,3218.3909,5701545,65535,87,25,321.5,1906.5,2905,-1,1
1086,1.2911841,305232,6782.9331,135216,3004.8,2949075,65535,45,25,314,1230.5,2906,-1,0
1087,1.2904314,112176,7011,47072,2942,1048560,65535,16,25,313,1220,2906,-1,0
1088,1.3306297,266224,12677.333,61776,2941.7144,1376235,65535,21,25,321.5,1240,2906,-1,0
1089,1.0393245,526176,25056,65184,3104,1376235,65535,21,25,333.5,1233.5,2906,-1,0
1090,1.081281,2301181,40371.598,253568,4448.5615,3725114,65352.879,57,25,316.5,426,2907,-1,1
